label,grade
student_1,8.55
student_2,7.16
student_3,10.0
student_4,
student_5,5.4
student_6,9.0
student_7,
student_8,5.8
student_9,4.8
student_10,6.16
student_11,
student_12,5.2
student_13,6.9
student_14,4.41
student_15,8.55
student_16,
student_17,5.7
student_18,
student_19,
student_20,
student_21,9.75
student_22,7.36
student_23,9.45
student_24,10.0
student_25,5.7
student_26,6.92
student_27,5.01
student_28,4.95
student_29,7.9
student_30,
student_31,7.56
student_32,8.21
student_33,9.5
student_34,6.09
student_35,5.37
student_36,7.44
student_37,5.25
student_38,6.36
student_39,6.92
student_40,7.2
student_41,8.2
student_42,8.5
student_43,5.77
student_44,8.5
student_45,5.0
student_46,2.96
student_47,5.19
student_48,
student_49,8.9
student_50,
student_57,7.27
student_58,6.33
student_59,5.43
student_60,6.0
student_61,
student_62,9.4
student_63,5.08
student_64,5.84
student_65,9.35
student_66,0.4
student_67,7.0
student_68,8.74
student_69,8.7
student_70,7.3
student_71,9.55
student_72,9.6
student_73,
d6ba1ce94ec7c9a813909444f68b6014,6.89
e2103cc9d65c65b516419b59cfe1544b,6.89
5adb87d654a308176a7508f9e5c27641,6.98
6e9326a5d35e92608a5b4c1f8434828a,6.98
318a5b6b92e0da9315cc6a815f22212b,6.98
2fdeaa7f48ba7f506c057707b2e77812,6.95
6abc94ddf4e50cb0e7463347e6df78d5,6.95
c72e2c70dd4934b2fb628a4f25051f80,6.95
69c60b8bf6ad342a4c0a7b54c920b6c0,6.95
84f33a58c49a7fab13fca0d217ef8938,6.95
7cbda836ef0d1c9e78b50ccc9724fdb7,6.95
d77ae437b650edc0f4219d1834263632,4.32
9511dedd1cbb3bdd30d99869c90e64a2,3.97
2591adf8fc3d96b7775ab0d49d3a9de7,6.95
0889c6e3cb0c6cda88f0186c3dfb7625,5.0
db139abf06049e9f628021801e25d0f8,4.1
1efabf296b592e4a0ee35993ad637c72,6.97
973e6095a2f9dfe648c23948e3b0b825,6.94
00fa2d111f92d178b4dc270f44cfad63,6.94
